Player Name;Date;Day;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Att;Succ;Match Report
Dominik Szoboszlai;2023-08-13;Sun;Matchweek 1;Away;D 1–1;Liverpool;Chelsea;Y;RM,LW;90;0;0;0;0;1;0;0;0;56;1;1;5;0.0;0.0;0.3;2;0;33;42;78.6;2;27;1;1;0;Match Report
Dominik Szoboszlai;2023-08-19;Sat;Matchweek 2;Home;W 3–1;Liverpool;Bournemouth;Y;RM,CM;90;0;0;0;0;3;1;0;0;85;1;1;2;0.1;0.1;0.0;7;1;67;72;93.1;4;46;5;6;3;Match Report
Dominik Szoboszlai;2023-08-27;Sun;Matchweek 3;Away;W 2–1;Liverpool;Newcastle Utd;Y;RM,CM;90;0;0;0;0;2;0;0;0;56;3;0;1;0.1;0.1;0.1;2;0;32;42;76.2;7;22;1;6;3;Match Report
Dominik Szoboszlai;2023-09-03;Sun;Matchweek 4;Home;W 3–0;Liverpool;Aston Villa;Y;RM,LM;90;1;0;0;0;2;1;0;0;71;0;1;3;0.1;0.1;0.1;7;0;54;60;90.0;2;46;2;3;1;Match Report
Dominik Szoboszlai;2023-09-16;Sat;Matchweek 5;Away;W 3–1;Liverpool;Wolves;Y;CM,RM;90;0;0;0;0;2;1;0;0;114;2;0;4;0.2;0.2;0.0;4;0;82;102;80.4;14;67;2;1;0;Match Report
Dominik Szoboszlai;2023-09-24;Sun;Matchweek 6;Home;W 3–1;Liverpool;West Ham;Y;RM;90;0;0;0;0;3;0;0;0;101;2;1;0;0.1;0.1;0.1;8;0;84;92;91.3;15;68;1;0;0;Match Report
Dominik Szoboszlai;2023-09-30;Sat;Matchweek 7;Away;L 1–2;Liverpool;Tottenham;Y;CM,RM;90;0;0;0;0;1;1;0;0;60;1;1;2;0.0;0.0;0.1;3;1;38;49;77.6;5;33;1;4;1;Match Report
Dominik Szoboszlai;2023-10-08;Sun;Matchweek 8;Away;D 2–2;Liverpool;Brighton;Y;RM;90;0;0;0;0;1;0;1;0;49;3;1;0;0.0;0.0;0.9;7;1;33;40;82.5;6;32;0;1;1;Match Report
Dominik Szoboszlai;2023-10-21;Sat;Matchweek 9;Home;W 2–0;Liverpool;Everton;Y;RM,LM;90;0;0;0;0;5;0;0;0;105;1;0;1;0.1;0.1;0.2;7;1;81;92;88.0;8;58;8;2;1;Match Report
Dominik Szoboszlai;2023-10-29;Sun;Matchweek 10;Home;W 3–0;Liverpool;Nott'ham Forest;Y;RM;90;0;2;0;0;1;1;0;0;100;0;1;1;0.1;0.1;1.7;4;2;81;94;86.2;11;55;6;4;3;Match Report
Mohamed Salah;2023-08-13;Sun;Matchweek 1;Away;D 1–1;Liverpool;Chelsea;Y;RW;76;0;1;0;0;3;0;0;0;29;1;0;1;0.3;0.3;0.5;3;1;18;23;78.3;3;21;2;0;0;Match Report
Mohamed Salah;2023-08-19;Sat;Matchweek 2;Home;W 3–1;Liverpool;Bournemouth;Y;RW,FW;85;1;0;0;1;4;2;0;0;44;1;0;1;1.2;0.3;0.0;3;1;28;33;84.8;4;30;2;3;0;Match Report
Mohamed Salah;2023-08-27;Sun;Matchweek 3;Away;W 2–1;Liverpool;Newcastle Utd;Y;FW,RW,RM;90;0;1;0;0;2;1;0;0;36;1;1;0;0.2;0.2;0.4;4;2;23;24;95.8;1;28;1;5;3;Match Report
Mohamed Salah;2023-09-03;Sun;Matchweek 4;Home;W 3–0;Liverpool;Aston Villa;Y;RW;90;1;0;0;0;4;3;0;0;40;2;0;0;0.8;0.8;0.4;5;0;22;27;81.5;4;24;3;3;0;Match Report
