Game;Team;Player;#;Nation;Pos;Age;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Att;Succ
Young Boys vs. Manchester City;Young Boys;Cedric Itten;9;ch SUI;FW;26-302;72;0;0;0;0;3;2;0;0;20;2;0;1;0.1;0.1;0.0;1;0;6;12;50.0;1;13;1;0;0
Young Boys vs. Manchester City;Young Boys;Jean-Pierre Nsame;18;cm CMR;FW;30-177;18;0;0;0;0;0;0;0;0;7;0;0;0;0.0;0.0;0.0;1;0;6;6;100.0;2;4;0;0;0
Young Boys vs. Manchester City;Young Boys;Meschak Elia;15;cd COD;LW;26-080;90;1;0;0;0;2;1;0;0;23;2;0;2;0.2;0.2;0.0;1;0;12;13;92.3;0;15;1;2;0
Young Boys vs. Manchester City;Young Boys;Joel Monteiro;77;pt POR;RW;24-081;72;0;0;0;0;1;0;1;0;19;2;1;0;0.0;0.0;0.0;3;0;12;13;92.3;3;16;1;1;1
Young Boys vs. Manchester City;Young Boys;Silvère Ganvoula M'Boussy;35;cg CGO;RW;27-125;18;0;0;0;0;0;0;0;0;6;0;0;0;0.0;0.0;0.0;1;0;3;5;60.0;0;7;0;0;0
Young Boys vs. Manchester City;Young Boys;Cheikh Niasse;20;sn SEN;LM;23-279;90;0;1;0;0;0;0;0;0;42;0;0;4;0.0;0.0;0.2;1;1;31;36;86.1;4;27;0;0;0
Young Boys vs. Manchester City;Young Boys;Sandro Lauper;30;ch SUI;CM;27-000;79;0;0;0;0;2;0;0;0;34;0;0;1;0.1;0.1;0.0;1;0;25;30;83.3;0;22;0;0;0
Young Boys vs. Manchester City;Young Boys;Darian Males;39;ch SUI;CM;22-175;11;0;0;0;0;0;0;0;0;9;1;0;0;0.0;0.0;0.0;0;0;4;6;66.7;0;5;0;1;1
Young Boys vs. Manchester City;Young Boys;Filip Ugrinic;7;ch SUI;RM;24-293;90;0;0;0;0;1;1;0;0;39;3;0;1;0.0;0.0;0.1;2;0;31;33;93.9;3;22;3;0;0
Young Boys vs. Manchester City;Young Boys;Ulisses Garcia;21;ch SUI;LB;27-287;79;0;0;0;0;0;0;0;0;45;5;0;2;0.0;0.0;0.0;2;0;31;35;88.6;0;18;1;0;0
Young Boys vs. Manchester City;Young Boys;Noah Persson;19;se SWE;LB;20-101;11;0;0;0;0;0;0;0;0;8;0;0;0;0.0;0.0;0.0;0;0;7;7;100.0;0;3;0;0;0
Young Boys vs. Manchester City;Young Boys;Loris Benito;23;ch SUI;CB;31-291;90;0;0;0;0;0;0;0;0;58;2;0;2;0.0;0.0;0.0;1;0;44;51;86.3;1;35;0;0;0
Young Boys vs. Manchester City;Young Boys;Mohamed Aly Camara;13;gn GUI;CB;26-058;90;0;0;0;0;0;0;1;0;54;3;0;2;0.0;0.0;0.0;0;0;39;43;90.7;2;28;1;2;2
